projectile,proj_type,calibre,proj_mass,proj_density,proj_hardness,Material,thickness,density,modulus,hardness,yield,PR,UTS,elongation,Ludwik-n,angle,v50
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,24.2,2.72,69.0,163.0,402.0,0.33,538.0,12.0,0.1116,0,447
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,30.0,2.72,69.0,159.0,402.0,0.33,538.0,12.0,0.1116,0,599
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,36.6,2.72,69.0,163.0,402.0,0.33,538.0,12.0,0.1116,0,865
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,37.0,2.72,69.0,156.0,402.0,0.33,538.0,12.0,0.1116,0,881
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,38.1,2.72,69.0,170.0,402.0,0.33,538.0,12.0,0.1116,0,909
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,38.4,2.72,69.0,163.0,402.0,0.33,538.0,12.0,0.1116,0,923
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,49.5,2.72,69.0,156.0,402.0,0.33,538.0,12.0,0.1116,0,1213
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,49.5,2.72,69.0,156.0,402.0,0.33,538.0,12.0,0.1116,0,1234
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2060-T8,16.0,2.72,69.0,159.0,402.0,0.33,538.0,12.0,0.1116,30,586
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2060-T8,17.2,2.72,69.0,166.0,402.0,0.33,538.0,12.0,0.1116,30,628
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2060-T8,21.6,2.72,69.0,159.0,402.0,0.33,538.0,12.0,0.1116,0,642
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2060-T8,21.6,2.72,69.0,159.0,402.0,0.33,538.0,12.0,0.1116,30,707
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2060-T8,22.8,2.72,69.0,156.0,402.0,0.33,538.0,12.0,0.1116,0,667
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2060-T8,22.9,2.72,69.0,156.0,402.0,0.33,538.0,12.0,0.1116,0,659
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2060-T8,24.4,2.72,69.0,159.0,402.0,0.33,538.0,12.0,0.1116,0,684
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2060-T8,30.2,2.72,69.0,159.0,402.0,0.33,538.0,12.0,0.1116,0,779
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2060-T8,36.6,2.72,69.0,169.0,402.0,0.33,538.0,12.0,0.1116,0,879
